#airframe_info, log_version="1.00", airframe_name="Cessna 172S", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0563-26", system_id="292903706", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2012-09-10, 12:38:36,  -05:00,       ,   47.9485130,  -97.1728897,  1183.7, 30.00,   833.4,  27.2,   0.00,   0.00,    5.03,   2.97,   0.77,  -0.01,  -0.02, 176.9, 356.4,  28.1,  28.0,   3.1,   0.5,  21.96,  23.87,     3.68,   77.42,   67.11, 1385.9,   96.27,   85.15,   92.94,   83.76, 1072.34, 1044.01, 1056.85, 1052.43,   745.6,   0,  GPS,  256.0, 114.30, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   3.9, 3DDiff, 3704,      ,     29,  65.5,     41
2012-09-10, 12:38:36,  -05:00,       ,   47.9485054,  -97.1728897,  1183.7, 30.00,   834.1,  27.2,   0.00,   0.00,    4.49,   2.99,   0.74,  -0.02,   0.01, 176.9, 356.4,  28.1,  28.0,   3.1,   0.5,  21.96,  23.87,     3.64,   77.42,   67.10, 1386.4,   96.35,   85.21,   93.10,   83.80, 1073.51, 1044.60, 1057.39, 1052.90,   746.2,   0,  GPS,  256.0, 114.30, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   3.9, 3DDiff, 3704,      ,     28,  66.0,     41
2012-09-10, 12:38:38,  -05:00,       ,   47.9485054,  -97.1728897,  1184.7, 30.00,   836.6,  27.2,   0.00,   0.00,   38.66,   2.97,   0.76,  -0.01,  -0.05, 176.9, 356.4,  28.1,  28.0,   3.1,   0.5,  21.96,  23.87,     3.65,   77.43,   67.09, 1388.3,   98.06,   86.48,   94.68,   84.89, 1083.15, 1054.04, 1066.31, 1063.04,   748.8,   0,  GPS,  256.0, 114.30, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     28,  64.0,     40
2012-09-10, 12:38:39,  -05:00,       ,   47.9485054,  -97.1728897,  1185.7, 30.00,   837.0,  27.2,   0.00,   0.00,   47.57,   3.00,   0.71,  -0.02,   0.01, 176.9, 356.4,  28.1,  28.0,   3.1,   0.5,  21.96,  23.87,     3.62,   77.45,   67.11, 1388.6,   98.94,   87.09,   95.52,   85.44, 1086.49, 1058.52, 1070.36, 1067.76,   749.2,   0,  GPS,  256.0, 114.30, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     28,  64.0,     40
2012-09-10, 12:38:40,  -05:00,       ,   47.9485054,  -97.1728897,  1185.7, 30.00,   837.2,  27.2,   0.00,   0.00,   23.11,   3.00,   0.85,   0.00,  -0.01, 177.0, 356.4,  28.1,  28.0,   3.0,   0.5,  22.01,  23.87,     3.52,   77.46,   67.05, 1388.3,   99.82,   87.63,   96.34,   85.95, 1090.02, 1062.65, 1074.60, 1070.55,   749.4,   0,  GPS,  256.0, 114.30, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     28,  64.5,     40
2012-09-10, 12:38:41,  -05:00,       ,   47.9485054,  -97.1728897,  1184.7, 30.00,   837.3,  27.2,   0.00,   0.00,   10.88,   3.01,   0.71,  -0.01,   0.02, 176.9, 356.4,  28.1,  28.0,   3.0,   0.5,  22.01,  23.87,     3.47,   77.47,   67.29, 1395.3,  100.72,   88.35,   97.22,   86.56, 1095.06, 1066.64, 1079.33, 1074.52,   749.5,   0,  GPS,  256.0, 114.30, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,  -3.9, 3DDiff, 3704,      ,     28,  65.0,     40
2012-09-10, 12:38:42,  -05:00,       ,   47.9485054,  -97.1728897,  1183.7, 30.00,   837.5,  27.2,   0.00,   0.00,  -16.88,   2.97,   0.73,   0.00,  -0.01, 177.0, 356.4,  28.1,  28.0,   3.0,   0.5,  22.01,  23.82,     3.34,   77.48,   67.34, 1401.8,  101.77,   89.05,   98.20,   87.26, 1100.59, 1071.56, 1083.59, 1079.41,   749.6,   0,  GPS,  256.0, 114.30, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     28,  65.0,     41
2012-09-10, 12:38:43,  -05:00,       ,   47.9485054,  -97.1728897,  1185.7, 30.00,   837.6,  27.2,   0.00,   0.00,    8.36,   3.02,   0.71,   0.00,   0.05, 176.9, 356.4,  28.1,  28.0,   3.0,   0.5,  21.96,  23.82,     3.10,   77.50,   67.40, 1405.5,  102.67,   89.64,   99.10,   87.84, 1107.81, 1077.86, 1089.16, 1084.79,   749.8,   0,  GPS,  256.0, 114.30, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     28,  65.5,     41
2012-09-10, 12:38:44,  -05:00,       ,   47.9485054,  -97.1728897,  1187.7, 30.00,   834.7,  27.2,   0.00,   0.00,   57.36,   3.03,   0.78,  -0.02,  -0.00, 176.8, 356.4,  28.1,  28.0,   3.0,   0.5,  22.01,  23.82,     3.04,   77.52,   67.50, 1409.4,  103.61,   90.37,   99.99,   88.46, 1118.50, 1086.39, 1098.44, 1096.00,   746.9,   0,  GPS,  256.0, 114.30, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     28,  64.0,     40
2012-09-10, 12:38:45,  -05:00,       ,   47.9485054,  -97.1728897,  1187.7, 30.00,   834.0,  27.2,   0.00,   0.00,   53.85,   3.02,   0.79,  -0.01,   0.01, 176.9, 356.4,  28.1,  28.0,   3.0,   0.5,  22.01,  23.87,     2.91,   77.54,   67.65, 1417.1,  104.59,   91.03,  100.90,   89.05, 1130.86, 1096.97, 1110.36, 1108.31,   746.1,   0,  GPS,  256.0, 114.30, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     28,  64.0,     40
