#airframe_info, log_version="1.00", airframe_name="Cessna 172S", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0563-26", system_id="2F8EB36E1", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2012-10-20, 12:47:27,  -05:00,       ,   47.9486046,  -97.1725998,   283.6, 29.07,   832.8,  10.5,   0.00,   0.00,  -43.20,   1.56,  -0.05,  -0.02,   0.01, 358.7, 356.5,  28.1,  28.0,   5.3,   0.2,  21.81,  24.00,     3.24,   50.02,   60.81, 1194.2,   66.90,   60.56,   63.79,   63.37, 1036.57, 1000.19, 1011.65,  987.83,   745.0,   0,  GPS,  266.5, 108.40, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   3.9, 3DDiff, 3704,      ,     42, 157.0,     34
2012-10-20, 12:47:28,  -05:00,       ,   47.9486046,  -97.1726074,   284.6, 29.07,   832.7,  10.5,   0.00,   0.00,  -10.88,   1.53,   0.00,  -0.03,  -0.01, 358.6, 356.5,  28.1,  28.0,   5.3,   0.2,  21.81,  24.00,     3.21,   50.05,   60.84, 1194.8,   67.33,   60.89,   64.12,   63.78, 1036.96, 1001.79, 1012.46,  988.99,   744.9,   0,  GPS,  266.5, 108.40, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   3.9, 3DDiff, 3704,      ,     42, 154.0,     34
2012-10-20, 12:47:30,  -05:00,       ,   47.9486046,  -97.1726074,   283.6, 29.07,   833.3,  10.5,   0.00,   0.00,   -4.89,   1.55,   0.02,  -0.01,   0.01, 358.7, 356.5,  28.1,  28.0,   5.3,   0.2,  21.76,  24.00,     3.18,   50.09,   60.87, 1192.1,   68.05,   61.57,   64.79,   64.53, 1037.76, 1004.47, 1012.85,  991.72,   745.5,   0,  GPS,  266.5, 108.40, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   3.9, 3DDiff, 3704,      ,     42, 153.0,     34
2012-10-20, 12:47:31,  -05:00,       ,   47.9486046,  -97.1726074,   284.6, 29.07,   833.7,  10.5,   0.00,   0.00,   16.26,   1.56,   0.08,   0.01,  -0.00, 358.9, 356.5,  28.1,  28.0,   5.2,   0.2,  21.76,  24.00,     2.95,   50.13,   61.15, 1211.1,   68.83,   62.25,   65.43,   65.26, 1037.13, 1007.58, 1013.28,  994.88,   745.9,   0,  GPS,  266.5, 108.40, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     42, 153.0,     34
2012-10-20, 12:47:32,  -05:00,       ,   47.9486046,  -97.1726074,   285.6, 29.07,   834.0,  10.5,   0.00,   0.00,   42.73,   1.57,  -0.07,  -0.02,   0.01, 358.7, 356.5,  28.1,  28.0,   5.2,   0.2,  21.71,  24.00,     2.85,   50.18,   61.18, 1213.0,   69.55,   62.95,   66.11,   66.00, 1037.69, 1012.31, 1017.19,  999.89,   746.2,   0,  GPS,  266.5, 108.40, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   3.9, 3DDiff, 3704,      ,     42, 153.5,     34
2012-10-20, 12:47:33,  -05:00,       ,   47.9486008,  -97.1726074,   284.6, 29.07,   834.1,  10.2,   0.00,   0.00,   23.01,   1.56,  -0.01,   0.00,   0.02, 358.8, 356.5,  28.1,  28.1,   5.2,   0.2,  21.76,  24.00,     2.78,   50.23,   61.42, 1223.7,   70.35,   63.67,   66.81,   66.75, 1039.72, 1019.72, 1021.13, 1006.46,   746.2,   0,  GPS,  266.5, 108.40, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     42, 156.0,     34
2012-10-20, 12:47:34,  -05:00,       ,   47.9486046,  -97.1725998,   283.6, 29.07,   834.6,  10.2,   0.00,   0.00,   -9.41,   1.48,  -0.08,   0.02,   0.00, 358.7, 356.5,  28.1,  28.0,   5.1,   0.2,  21.71,  24.00,     2.51,   50.27,   61.33, 1234.7,   71.10,   64.41,   67.51,   67.52, 1042.87, 1029.11, 1024.47, 1014.32,   746.8,   0,  GPS,  266.5, 108.40, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     41, 156.5,     33
2012-10-20, 12:47:35,  -05:00,       ,   47.9486046,  -97.1725998,   284.6, 29.07,   834.6,  10.2,   0.00,   0.00,   -1.99,   1.53,  -0.07,   0.01,   0.03, 358.7, 356.5,  28.1,  28.0,   5.1,   0.2,  21.76,  24.00,     2.24,   50.32,   61.44, 1222.0,   71.92,   65.16,   68.22,   68.30, 1048.35, 1041.43, 1030.75, 1025.47,   746.8,   0,  GPS,  266.5, 108.40, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,  -3.9, 3DDiff, 3704,      ,     40, 153.5,     33
2012-10-20, 12:47:35,  -05:00,       ,   47.9486008,  -97.1725998,   286.6, 29.07,   833.8,  10.2,   0.00,   0.00,   32.18,   1.57,   0.01,  -0.01,  -0.02, 358.8, 356.5,  28.1,  28.1,   5.1,   0.2,  21.76,  24.00,     2.21,   50.37,   61.24, 1200.5,   72.68,   65.87,   68.95,   69.12, 1059.66, 1061.80, 1040.67, 1041.94,   746.0,   0,  GPS,  266.5, 108.40, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     40, 152.0,     33
2012-10-20, 12:47:36,  -05:00,       ,   47.9486008,  -97.1726074,   285.6, 29.07,   830.3,  10.2,   0.00,   0.00,   13.22,   1.53,   0.02,   0.00,  -0.00, 358.9, 356.5,  28.1,  28.0,   5.0,   0.2,  21.71,  24.00,     2.26,   50.42,   61.12, 1187.6,   73.51,   66.65,   69.69,   69.91, 1073.48, 1088.51, 1053.71, 1063.65,   742.5,   0,  GPS,  266.5, 108.40, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     16,  61.5,     30
