#airframe_info, log_version="1.00", airframe_name="Cessna 172S", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0563-26", system_id="2F8EB36E1", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2012-10-17, 16:39:42,  -05:00,       ,   47.9485893,  -97.1729736,   821.7, 29.05,   829.2,   9.2,   0.00,   0.00,   31.17,   1.83,   0.04,  -0.01,  -0.02, 354.4, 265.9,  28.1,  28.1,   5.1,   0.5,  23.46,  23.49,     3.17,  119.32,   58.15, 1284.3,  111.33,   90.74,  104.29,  105.26, 1031.06, 1003.44, 1009.50,  992.52,   741.4,   0,  GPS,  266.6, 108.40, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   3.9,     3D, 3704,      ,       , 728.0,       
2012-10-17, 16:39:43,  -05:00,       ,   47.9485931,  -97.1729736,   821.7, 29.05,   829.2,   9.2,   0.00,   0.00,   31.97,   1.88,  -0.07,   0.02,   0.00, 354.5, 265.9,  28.1,  28.1,   5.1,   0.5,  23.42,  23.49,     3.17,  119.35,   58.13, 1282.9,  111.81,   91.13,  104.75,  105.68, 1034.76, 1007.94, 1013.34,  997.22,   740.9,   0,  GPS,  266.6, 108.40, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   7.9,     3D, 3704,      ,       , 717.0,       
2012-10-17, 16:39:43,  -05:00,       ,   47.9485931,  -97.1729736,   822.7, 29.05,   828.7,   9.2,   0.00,   0.00,   31.97,   1.88,  -0.07,   0.02,   0.00, 354.5, 265.9,  28.1,  28.1,   5.1,   0.5,  23.42,  23.49,     3.17,  119.35,   58.13, 1282.9,  111.81,   91.13,  104.75,  105.68, 1034.76, 1007.94, 1013.34,  997.22,   740.9,   0,  GPS,  266.6, 108.40, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   7.9,     3D, 3704,      ,       , 717.0,       
2012-10-17, 16:39:44,  -05:00,       ,   47.9485931,  -97.1729813,   823.7, 29.05,   828.7,   9.2,   0.00,   0.00,   32.61,   1.99,   0.10,   0.03,   0.03, 354.6, 265.9,  28.1,  28.1,   4.9,   0.5,  23.46,  23.49,     3.14,  119.38,   57.96, 1276.6,  112.30,   91.52,  105.22,  106.14, 1038.14, 1012.75, 1017.69, 1001.82,   740.9,   0,  GPS,  266.6, 108.40, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   3.9,     3D, 3704,      ,       , 709.0,       
2012-10-17, 16:39:45,  -05:00,       ,   47.9486008,  -97.1729813,   823.7, 29.05,   808.2,   9.2,   0.00,   0.00,   39.66,   1.87,   0.03,  -0.00,  -0.04, 354.5, 265.9,  28.1,  28.1,   4.7,   0.5,  23.46,  23.47,     3.12,  119.40,   58.13, 1285.1,  112.82,   92.00,  105.67,  106.60, 1041.81, 1017.78, 1020.78, 1007.80,   720.3,   0,  GPS,  266.6, 108.40, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   7.9,     3D, 3704,      ,       , 1030.0,       
2012-10-17, 16:39:46,  -05:00,       ,   47.9486008,  -97.1729813,   822.7, 29.05,   808.9,   9.2,   0.00,   0.00,    0.37,   1.75,  -0.04,   0.04,   0.03, 354.6, 265.9,  28.1,  28.1,   4.7,   0.4,  23.48,  23.47,     3.02,  119.42,   58.26, 1290.0,  113.34,   92.45,  106.16,  107.09, 1044.81, 1022.46, 1025.10, 1014.07,   721.1,   0,  GPS,  266.6, 108.40, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,  15.7,     3D, 3704,      ,       , 1027.0,       
2012-10-17, 16:39:47,  -05:00,       ,   47.9486046,  -97.1729813,   822.7, 29.05,   807.9,   9.2,   0.00,   0.00,  -15.23,   1.66,   0.13,   0.02,  -0.00, 354.6, 265.9,  28.1,  28.1,   4.7,   0.4,  23.52,  23.47,     2.97,  119.43,   58.36, 1296.9,  113.87,   92.88,  106.63,  107.57, 1047.30, 1027.61, 1030.87, 1021.14,   720.1,   0,  GPS,  266.6, 108.40, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       , 1024.5,       
2012-10-17, 16:39:48,  -05:00,       ,   47.9486084,  -97.1729813,   822.7, 29.05,   805.1,   9.2,  17.96,   0.00,  -11.65,   1.72,   0.14,  -0.03,   0.00, 354.5, 265.9,  28.1,  28.1,   4.7,   0.4,  23.52,  23.47,     2.81,  119.44,   58.47, 1304.5,  114.40,   93.37,  107.13,  108.09, 1050.12, 1034.87, 1036.22, 1028.95,   717.3,  18,  GPS,  266.6, 108.40, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,  -3.9,     3D, 3704,      ,       , 1022.5,       
2012-10-17, 16:39:49,  -05:00,       ,   47.9486084,  -97.1729813,   822.7, 29.05,   804.3,   9.2,  -0.38,   0.00,    2.87,   1.80,   0.02,  -0.02,   0.01, 354.6, 265.9,  28.1,  28.1,   4.5,   0.4,  23.57,  23.43,     2.61,  119.45,   58.49, 1307.9,  115.05,   93.89,  107.76,  108.72, 1055.61, 1045.15, 1042.63, 1037.47,   716.5,  -0,  GPS,  266.6, 108.40, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,  -7.9,     3D, 3704,      ,       , 1020.5,       
2012-10-17, 16:39:50,  -05:00,       ,   47.9486008,  -97.1729889,   823.7, 29.05,   814.9,   9.2,  -0.00,   0.00,   15.28,   1.86,   0.20,  -0.01,   0.01, 354.5, 265.9,  28.1,  28.1,   4.4,   0.4,  23.57,  23.43,     2.53,  119.46,   58.49, 1309.4,  115.65,   94.48,  108.32,  109.28, 1063.72, 1058.47, 1050.60, 1051.97,   727.1,  -0,  GPS,  266.6, 108.40, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,  -3.9,     3D, 3704,      ,       , 250.5,       
