#airframe_info, log_version="1.00", airframe_name="Cessna 172S", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0563-26", system_id="29FD83D95", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2012-10-31, 18:44:35,  -05:00,       ,   47.9485435,  -97.1731033,   784.8, 29.96,   855.6,   6.2,   0.00,   0.00,  -36.39,   2.26,   0.29,   0.00,  -0.04, 178.5, 266.8,  28.0,  28.0,   6.1,   0.7,  22.30,  23.96,     2.86,  104.57,   59.05,  994.0,   97.39,   94.92,  105.42,  117.77,  998.32,  972.54,  956.48,  959.68,   767.8,   0,  GPS,  189.4, 114.30, 110.60, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     45, 129.5,     54
2012-10-31, 18:44:35,  -05:00,       ,   47.9485054,  -97.1730652,   783.8, 29.96,   839.1,   6.2,   0.00,   0.00,  -46.31,   2.26,   0.29,  -0.01,   0.01, 178.5, 266.8,  28.0,  28.0,   6.1,   0.7,  22.28,  23.96,     2.88,  104.57,   59.03,  994.6,   97.73,   95.24,  105.72,  118.12,  999.86,  972.91,  957.57,  960.20,   751.3,   0,  GPS,  189.4, 114.30, 110.60, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     45, 129.5,     54
2012-10-31, 18:44:36,  -05:00,       ,             ,             ,   786.8, 29.96,        ,   6.2,   0.00,       ,   -5.24,   2.26,   0.33,  -0.01,  -0.02, 178.5,      ,  28.0,  28.0,   6.0,   0.7,  22.28,  23.96,     2.89,  104.56,   58.96,  993.3,   98.28,   95.77,  106.26,  118.75, 1003.53,  974.37,  958.70,  960.44,        ,   0,  GPS,  189.4, 114.30, 110.60, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-31, 18:44:37,  -05:00,       ,   47.9485054,  -97.1730728,   785.8, 29.96,   839.8,   6.2,   0.00,   0.00,   18.51,   2.29,   0.32,  -0.00,   0.02, 178.5, 266.8,  28.0,  28.0,   5.9,   0.7,  22.30,  23.96,     2.85,  104.56,   58.99,  991.1,   98.93,   96.42,  106.89,  119.51, 1006.95,  976.30,  960.51,  961.39,   752.0,   0,  GPS,  189.4, 114.30, 110.60, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     45, 129.5,     54
2012-10-31, 18:44:38,  -05:00,       ,   47.9485054,  -97.1730728,   784.8, 29.96,   840.0,   6.2,   0.00,   0.00,  -17.04,   2.23,   0.31,  -0.01,  -0.00, 178.5, 266.8,  28.0,  28.0,   5.8,   0.7,  22.30,  23.96,     2.89,  104.55,   58.90,  990.1,   99.50,   96.96,  107.46,  120.15, 1010.02,  977.94,  963.51,  961.16,   752.1,   0,  GPS,  189.4, 114.30, 110.60, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     45, 129.5,     54
2012-10-31, 18:44:39,  -05:00,       ,   47.9485054,  -97.1730728,   786.8, 29.96,   840.0,   6.2,   0.00,   0.00,    8.17,   2.24,   0.30,   0.00,   0.01, 178.5, 266.8,  28.0,  28.0,   5.8,   0.7,  22.30,  23.91,     2.88,  104.54,   58.99,  992.3,  100.06,   97.49,  107.99,  120.78, 1012.78,  979.48,  966.55,  960.10,   752.2,   0,  GPS,  189.4, 114.30, 110.60, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     45, 129.5,     54
2012-10-31, 18:44:40,  -05:00,       ,   47.9485054,  -97.1730728,   787.8, 29.96,   839.5,   6.2,   0.00,   0.00,   35.61,   2.26,   0.31,   0.01,   0.02, 178.5, 266.8,  28.0,  28.0,   5.7,   0.7,  22.30,  23.96,     2.85,  104.53,   59.08,  995.8,  100.62,   98.05,  108.53,  121.44, 1011.75,  981.37,  967.12,  960.19,   751.7,   0,  GPS,  189.4, 114.30, 110.60, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     45, 129.5,     54
2012-10-31, 18:44:41,  -05:00,       ,   47.9485054,  -97.1730728,   787.8, 29.96,   840.0,   6.2,   0.00,   0.00,   39.77,   2.22,   0.27,  -0.01,  -0.01, 178.4, 266.8,  28.0,  28.0,   5.5,   0.6,  22.30,  23.96,     2.87,  104.52,   59.07,  997.3,  101.16,   98.61,  109.07,  122.10, 1012.79,  983.67,  966.80,  961.36,   752.2,   0,  GPS,  189.4, 114.30, 110.60, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     45, 129.5,     54
2012-10-31, 18:44:42,  -05:00,       ,   47.9485054,  -97.1730728,   786.8, 29.96,   839.6,   6.2,   0.00,   0.00,    6.69,   2.23,   0.34,  -0.00,  -0.00, 178.5, 266.8,  28.0,  28.0,   5.5,   0.6,  22.30,  23.96,     2.86,  104.51,   59.14,  997.9,  101.87,   99.30,  109.74,  122.85, 1014.31,  985.08,  969.23,  961.79,   751.8,   0,  GPS,  189.4, 114.30, 110.60, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     45, 129.5,     54
2012-10-31, 18:44:43,  -05:00,       ,   47.9485054,  -97.1730728,   785.8, 29.96,   839.7,   6.2,   0.00,   0.00,  -21.24,   2.27,   0.34,  -0.00,   0.01, 178.5, 266.8,  28.0,  28.0,   5.4,   0.6,  22.28,  23.96,     2.86,  104.50,   59.08,  998.4,  102.45,   99.85,  110.33,  123.54, 1013.27,  985.51,  970.10,  961.64,   751.9,   0,  GPS,  189.4, 114.30, 110.60, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     45, 129.5,     54
