#airframe_info, log_version="1.00", airframe_name="Cessna 172S", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0563-26", system_id="249AE42C9", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2012-11-12, 17:38:58,  -06:00,       ,   47.9482651,  -97.1728058,   594.8, 29.88,   839.8,  -6.5,   0.00,   0.00,    7.64,   2.35,  -0.56,   0.01,  -0.03, 359.5, 266.8,  28.0,  28.0,   4.5,   0.3,  19.67,  20.99,     2.70,   60.70,   67.14, 1213.0,   85.47,   74.29,   84.39,   81.86, 1105.04, 1078.06, 1127.49, 1083.34,   752.0,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:38:58,  -06:00,       ,   47.9482651,  -97.1728058,   594.8, 29.88,   839.8,  -6.5,   0.00,   0.00,   -7.71,   2.35,  -0.56,   0.01,   0.00, 359.5, 266.8,  28.0,  28.0,   4.5,   0.3,  19.67,  20.99,     2.65,   60.71,   67.05, 1211.4,   86.40,   75.08,   85.34,   82.74, 1106.36, 1080.02, 1129.30, 1085.44,   752.0,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:00,  -06:00,       ,   47.9482651,  -97.1728058,   593.8, 29.88,   839.7,  -6.5,   0.00,   0.00,  -15.66,   2.35,  -0.55,   0.01,  -0.00, 359.5, 266.8,  28.0,  28.0,   4.5,   0.3,  19.67,  20.94,     2.62,   60.72,   67.07, 1211.5,   87.30,   75.84,   86.26,   83.71, 1107.96, 1082.55, 1131.34, 1087.46,   751.9,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:00,  -06:00,       ,   47.9482651,  -97.1728058,   593.8, 29.88,   839.6,  -6.5,   0.00,   0.00,  -16.83,   2.31,  -0.56,  -0.00,  -0.03, 359.4, 266.8,  28.0,  28.0,   4.5,   0.3,  19.67,  20.94,     2.67,   60.73,   67.20, 1215.5,   88.21,   76.62,   87.16,   84.58, 1109.22, 1084.69, 1133.73, 1089.78,   751.8,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:02,  -06:00,       ,   47.9482651,  -97.1728058,   593.8, 29.88,   839.5,  -6.5,   0.00,   0.00,  -12.70,   2.37,  -0.52,   0.02,   0.02, 359.5, 266.8,  28.0,  28.0,   4.4,   0.3,  19.67,  20.99,     2.65,   60.74,   67.35, 1224.6,   89.18,   77.38,   88.12,   85.35, 1111.64, 1086.58, 1136.16, 1092.05,   751.7,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:02,  -06:00,       ,   47.9482651,  -97.1728058,   594.8, 29.88,   839.4,  -6.5,   0.00,   0.00,   13.62,   2.35,  -0.57,   0.01,   0.02, 359.4, 266.8,  28.0,  28.0,   4.4,   0.3,  19.67,  20.99,     2.67,   60.75,   67.29, 1222.9,   90.11,   78.20,   89.04,   86.34, 1113.73, 1089.08, 1138.75, 1094.44,   751.6,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:04,  -06:00,       ,   47.9482651,  -97.1728058,   594.8, 29.88,   839.3,  -6.5,   0.00,   0.00,   19.65,   2.32,  -0.53,   0.02,  -0.05, 359.5, 266.8,  28.0,  28.0,   4.4,   0.3,  19.64,  21.04,     2.59,   60.76,   67.20, 1219.5,   91.06,   78.99,   89.99,   87.23, 1116.01, 1091.67, 1140.74, 1096.91,   751.5,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:04,  -06:00,       ,   47.9482651,  -97.1728058,   594.8, 29.88,   839.2,  -6.5,   0.00,   0.00,   10.86,   2.42,  -0.51,   0.01,   0.03, 359.5, 266.8,  28.0,  28.0,   4.4,   0.3,  19.64,  21.04,     2.59,   60.77,   67.11, 1216.0,   92.07,   79.88,   91.00,   88.25, 1117.88, 1093.69, 1142.96, 1099.55,   751.4,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:06,  -06:00,       ,   47.9482651,  -97.1728058,   594.8, 29.88,   839.0,  -6.5,   0.00,   0.00,    2.94,   2.33,  -0.60,  -0.01,  -0.04, 359.3, 266.8,  28.0,  28.0,   4.4,   0.3,  19.67,  21.04,     2.62,   60.78,   67.05, 1212.4,   92.31,   80.01,   91.34,   88.43, 1119.00, 1095.88, 1143.78, 1101.44,   751.2,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:06,  -06:00,       ,   47.9482651,  -97.1728058,   594.8, 29.88,   839.0,  -6.5,   0.00,   0.00,   -6.73,   2.41,  -0.51,  -0.00,  -0.00, 359.4, 266.8,  28.0,  28.0,   4.4,   0.3,  19.64,  21.04,     2.61,   60.79,   67.11, 1216.0,   93.16,   80.69,   92.11,   89.21, 1120.72, 1098.61, 1145.33, 1104.18,   751.2,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:08,  -06:00,       ,   47.9482651,  -97.1728058,   594.8, 29.88,   838.9,  -6.5,   0.00,   0.00,  -10.80,   2.40,  -0.56,   0.01,  -0.05, 359.4, 266.8,  28.0,  28.1,   4.4,   0.3,  19.67,  21.04,     2.56,   60.80,   67.04, 1214.2,   94.13,   81.53,   93.05,   90.15, 1122.25, 1100.26, 1148.09, 1106.66,   751.1,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:08,  -06:00,       ,   47.9482651,  -97.1728058,   594.8, 29.88,   838.9,  -6.5,   0.00,   0.00,    9.37,   2.42,  -0.55,   0.01,   0.00, 359.4, 266.8,  28.0,  28.0,   4.4,   0.2,  19.67,  21.04,     2.53,   60.81,   67.01, 1213.4,   95.10,   82.39,   94.03,   91.04, 1123.51, 1102.23, 1151.40, 1108.83,   751.1,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:10,  -06:00,       ,   47.9482651,  -97.1728058,   594.8, 29.88,   838.8,  -6.5,   0.00,   0.00,    2.22,   2.36,  -0.55,   0.01,  -0.04, 359.4, 266.8,  28.0,  28.1,   4.4,   0.2,  19.67,  21.04,     2.59,   60.82,   67.08, 1214.4,   96.17,   83.36,   95.08,   92.00, 1125.01, 1105.08, 1153.93, 1112.24,   751.0,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:10,  -06:00,       ,   47.9482651,  -97.1728058,   593.8, 29.88,   838.6,  -6.5,   0.00,   0.00,  -13.48,   2.40,  -0.53,   0.00,   0.02, 359.4, 266.8,  28.0,  28.1,   4.3,   0.2,  19.69,  21.04,     2.55,   60.83,   67.14, 1215.3,   97.20,   84.24,   96.11,   93.07, 1127.80, 1107.84, 1157.74, 1115.40,   750.8,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:12,  -06:00,       ,   47.9482651,  -97.1728058,   594.8, 29.88,   838.6,  -6.5,   0.00,   0.00,   -6.10,   2.41,  -0.56,   0.01,   0.03, 359.4, 266.8,  28.0,  28.1,   4.3,   0.2,  19.67,  21.04,     2.58,   60.84,   67.14, 1216.4,   98.15,   85.11,   97.09,   94.03, 1130.05, 1110.13, 1161.93, 1119.57,   750.8,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:12,  -06:00,       ,   47.9482651,  -97.1728058,   593.8, 29.88,   838.6,  -6.5,   0.00,   0.00,  -18.46,   2.45,  -0.52,   0.01,   0.05, 359.4, 266.8,  28.0,  28.1,   4.3,   0.2,  19.67,  21.04,     2.49,   60.85,   67.21, 1220.0,   99.13,   85.99,   98.08,   94.95, 1132.84, 1113.06, 1166.22, 1123.64,   750.8,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:14,  -06:00,       ,   47.9482651,  -97.1728058,   594.8, 29.88,   838.6,  -6.5,   0.00,   0.00,   -1.10,   2.37,  -0.55,   0.01,  -0.02, 359.4, 266.8,  28.0,  28.1,   4.3,   0.2,  19.67,  21.04,     2.44,   60.86,   67.20, 1220.2,  100.12,   86.85,   99.06,   95.91, 1136.96, 1116.28, 1170.68, 1127.51,   750.8,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:14,  -06:00,       ,   47.9482651,  -97.1728058,   594.8, 29.88,   838.7,  -6.5,   0.00,   0.00,    7.52,   2.36,  -0.55,   0.01,  -0.01, 359.4, 266.8,  28.0,  28.1,   4.3,   0.2,  19.67,  21.04,     2.42,   60.87,   67.08, 1215.6,  101.21,   87.83,  100.15,   96.83, 1142.30, 1119.64, 1177.51, 1132.29,   750.9,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:16,  -06:00,       ,   47.9482651,  -97.1728058,   594.8, 29.88,   838.7,  -6.5,   0.00,   0.00,   -0.09,   2.38,  -0.54,   0.02,   0.02, 359.4, 266.8,  28.0,  28.1,   4.3,   0.2,  19.67,  21.04,     2.34,   60.88,   67.00, 1212.2,  102.23,   88.76,  101.18,   97.84, 1148.00, 1125.72, 1186.29, 1138.66,   750.9,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:16,  -06:00,       ,   47.9482651,  -97.1728058,   594.8, 29.88,   838.6,  -6.5,   0.00,   0.00,   14.78,   2.44,  -0.54,   0.02,   0.02, 359.4, 266.8,  28.0,  28.1,   4.2,   0.2,  19.67,  21.04,     2.30,   60.89,   66.99, 1211.1,  103.22,   89.65,  102.18,   98.81, 1155.03, 1132.33, 1196.18, 1146.27,   750.8,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:18,  -06:00,       ,   47.9482651,  -97.1728058,   596.8, 29.88,   838.6,  -6.5,   0.00,   0.00,   46.60,   2.44,  -0.56,   0.02,  -0.04, 359.4, 266.8,  28.0,  28.1,   4.2,   0.2,  19.69,  21.04,     2.28,   60.90,   66.90, 1207.9,  104.21,   90.54,  103.19,   99.87, 1164.52, 1140.13, 1206.18, 1155.69,   750.8,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:18,  -06:00,       ,   47.9482651,  -97.1728058,   595.8, 29.88,   838.7,  -6.5,   0.00,   0.00,   25.45,   2.47,  -0.54,   0.02,   0.03, 359.4, 266.8,  28.0,  28.1,   4.2,   0.2,  19.69,  21.04,     2.23,   60.91,   66.70, 1200.3,  105.35,   91.56,  104.29,  100.93, 1175.67, 1148.03, 1215.53, 1166.52,   750.9,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:19,  -06:00,       ,   47.9482651,  -97.1728058,   594.8, 29.88,   838.7,  -6.8,   0.00,   0.00,  -12.60,   2.41,  -0.57,   0.01,  -0.00, 359.3, 266.8,  28.0,  28.1,   4.2,   0.2,  19.69,  21.09,     2.18,   60.92,   66.42, 1184.7,  106.38,   92.50,  105.34,  101.94, 1188.01, 1157.52, 1225.94, 1177.72,   750.9,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:21,  -06:00,       ,   47.9482651,  -97.1728058,   593.8, 29.88,   838.7,  -6.8,   0.00,   0.00,  -33.02,   2.43,  -0.52,   0.02,  -0.00, 359.4, 266.8,  28.0,  28.1,   4.2,   0.2,  19.67,  21.04,     2.12,   60.93,   66.00, 1165.2,  107.37,   93.41,  106.34,  102.88, 1200.42, 1169.09, 1235.68, 1189.57,   750.9,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:21,  -06:00,       ,   47.9482651,  -97.1728058,   593.8, 29.88,   838.8,  -6.8,   0.00,   0.00,  -36.51,   2.45,  -0.58,   0.02,  -0.00, 359.4, 266.8,  28.0,  28.1,   4.2,   0.2,  19.67,  21.04,     2.12,   60.94,   65.73, 1150.7,  108.40,   94.35,  107.35,  103.87, 1211.48, 1182.05, 1243.98, 1199.50,   751.0,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:23,  -06:00,       ,   47.9482651,  -97.1728058,   593.8, 29.88,   838.8,  -6.8,   0.00,   0.00,  -21.05,   2.45,  -0.52,   0.01,   0.04, 359.4, 266.8,  28.0,  28.1,   4.1,   0.2,  19.67,  21.04,     2.07,   60.95,   65.36, 1132.7,  109.40,   95.27,  108.38,  104.84, 1223.83, 1193.01, 1252.69, 1209.58,   751.0,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:23,  -06:00,       ,   47.9482651,  -97.1728058,   593.8, 29.88,   838.8,  -6.8,   0.00,   0.00,   -8.83,   2.38,  -0.54,   0.01,  -0.02, 359.4, 266.8,  28.0,  28.1,   4.1,   0.2,  19.64,  21.09,     2.01,   60.96,   65.07, 1118.9,  110.43,   96.16,  109.34,  105.82, 1233.64, 1203.43, 1261.51, 1218.06,   751.0,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:25,  -06:00,       ,   47.9482651,  -97.1728058,   592.8, 29.88,   838.8,  -6.8,   0.00,   0.00,  -18.95,   2.47,  -0.56,   0.01,   0.02, 359.4, 266.8,  28.0,  28.1,   4.1,   0.2,  19.64,  21.04,     2.04,   60.97,   65.07, 1119.8,  111.38,   97.08,  110.34,  106.81, 1243.26, 1213.54, 1266.65, 1224.73,   751.0,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:25,  -06:00,       ,   47.9482651,  -97.1728058,   593.8, 29.88,   838.7,  -6.8,   0.00,   0.00,   -4.20,   2.46,  -0.54,   0.02,   0.02, 359.4, 266.8,  28.0,  28.1,   4.1,   0.2,  19.67,  21.04,     2.07,   60.98,   64.78, 1108.8,  112.51,   98.13,  111.45,  107.87, 1251.19, 1222.62, 1270.83, 1230.67,   750.9,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2012-11-12, 17:39:27,  -06:00,       ,   47.9482651,  -97.1728058,   592.8, 29.88,   838.7,  -6.8,   0.00,   0.00,  -20.67,   2.45,  -0.56,  -0.00,  -0.03, 359.4, 266.8,  28.0,  28.1,   4.1,   0.2,  19.67,  20.99,     2.06,   60.99,   64.82, 1109.7,  113.55,   99.07,  112.49,  108.80, 1255.78, 1229.74, 1273.06, 1235.35,   750.9,   0,  GPS,  356.5, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
