#airframe_info, log_version="1.00", airframe_name="Cessna 172S", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0563-26", system_id="249AE42C9", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2012-11-06, 09:03:29,  -05:00,       ,   47.9486046,  -97.1730042,  1048.2, 30.02,   839.3,   4.5,   0.00,   0.00,  -24.84,   1.77,  -0.37,   0.02,   0.00, 353.7, 266.6,  27.9,  27.9,   4.5,   0.5,  24.00,  23.87,     2.76,   57.77,   66.43, 1194.6,   55.66,   52.30,   57.00,   52.16, 1007.71,  996.76, 1019.76,  986.14,   751.5,   0,  GPS,  129.7, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  69.0,       
2012-11-06, 09:03:29,  -05:00,       ,   47.9486046,  -97.1730042,  1048.2, 30.02,   839.0,   4.5,   0.00,   0.00,  -27.33,   1.77,  -0.40,   0.02,  -0.04, 353.7, 266.6,  27.9,  27.9,   4.6,   0.5,  24.00,  23.87,     2.78,   57.77,   66.42, 1194.6,   55.74,   52.30,   57.00,   52.23, 1007.71,  997.27, 1020.21,  986.14,   751.2,   0,  GPS,  129.7, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  69.0,       
2012-11-06, 09:03:30,  -05:00,       ,   47.9486046,  -97.1729965,  1050.2, 30.02,   839.1,   4.5,   0.00,   0.00,   -0.25,   1.81,  -0.32,  -0.01,   0.04, 353.6, 266.6,  27.9,  27.9,   4.4,   0.5,  24.00,  23.87,     2.72,   57.81,   66.28, 1189.1,   56.37,   52.87,   57.72,   52.86, 1011.83, 1002.13, 1023.89,  989.03,   751.3,   0,  GPS,  129.7, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  68.5,       
2012-11-06, 09:03:31,  -05:00,       ,   47.9486008,  -97.1729965,  1052.2, 30.02,   838.5,   4.5,   0.00,   0.00,   54.80,   1.81,  -0.31,   0.02,   0.01, 353.7, 266.6,  27.8,  27.9,   4.3,   0.5,  24.00,  23.87,     2.75,   57.85,   66.40, 1190.5,   57.05,   53.47,   58.45,   53.45, 1015.44, 1005.73, 1028.54,  992.42,   750.7,   0,  GPS,  129.7, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  68.5,       
2012-11-06, 09:03:32,  -05:00,       ,   47.9486008,  -97.1729965,  1052.2, 30.02,   838.8,   4.5,   0.00,   0.00,   57.45,   1.85,  -0.34,   0.01,  -0.01, 353.7, 266.6,  27.8,  27.9,   4.3,   0.5,  24.00,  23.83,     2.73,   57.89,   66.32, 1187.7,   57.65,   53.93,   59.08,   53.97, 1019.34, 1008.45, 1032.48,  995.18,   751.0,   0,  GPS,  129.7, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  68.5,       
2012-11-06, 09:03:33,  -05:00,       ,   47.9486008,  -97.1729965,  1054.2, 30.02,   838.9,   4.5,   0.00,   0.00,   62.19,   1.85,  -0.32,  -0.00,   0.00, 353.7, 266.6,  27.9,  27.9,   4.3,   0.5,  24.00,  23.83,     2.70,   57.92,   66.40, 1191.4,   58.38,   54.58,   59.87,   54.65, 1022.89, 1012.50, 1037.01,  998.01,   751.1,   0,  GPS,  129.7, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  68.5,       
2012-11-06, 09:03:34,  -05:00,       ,   47.9486008,  -97.1729965,  1051.2, 30.02,   839.0,   4.5,   0.00,   0.00,   -5.72,   1.81,  -0.27,   0.01,   0.02, 353.7, 266.6,  27.9,  27.9,   4.2,   0.5,  24.00,  23.83,     2.76,   57.96,   66.39, 1193.4,   59.16,   55.24,   60.67,   55.33, 1026.05, 1015.62, 1041.66, 1001.16,   751.2,   0,  GPS,  129.7, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  68.5,       
2012-11-06, 09:03:35,  -05:00,       ,   47.9486008,  -97.1729965,  1049.2, 30.02,   838.9,   4.5,   0.00,   0.00,  -44.23,   1.85,  -0.20,   0.00,   0.00, 353.7, 266.6,  27.9,  27.9,   4.2,   0.5,  24.00,  23.87,     2.69,   58.00,   66.36, 1193.5,   59.85,   55.87,   61.43,   56.02, 1029.64, 1018.98, 1045.97, 1004.57,   751.1,   0,  GPS,  129.7, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  68.5,       
2012-11-06, 09:03:36,  -05:00,       ,   47.9486008,  -97.1729965,  1049.2, 30.02,   838.9,   4.5,   0.00,   0.00,  -59.75,   1.86,  -0.22,   0.01,   0.00, 353.7, 266.6,  27.8,  27.9,   4.1,   0.5,  24.00,  23.87,     2.62,   58.04,   66.35, 1191.2,   60.66,   56.49,   62.22,   56.72, 1033.81, 1022.00, 1050.32, 1008.68,   751.1,   0,  GPS,  129.7, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  68.5,       
2012-11-06, 09:03:37,  -05:00,       ,   47.9486008,  -97.1729965,  1047.2, 30.02,   839.0,   4.5,   0.00,   0.00,  -75.31,   1.82,  -0.27,   0.02,   0.04, 353.7, 266.6,  27.8,  27.9,   4.0,   0.4,  24.00,  23.87,     2.55,   58.07,   66.27, 1194.8,   61.43,   57.09,   63.01,   57.37, 1038.85, 1025.34, 1055.89, 1012.94,   751.2,   0,  GPS,  129.7, 108.40, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  68.5,       
